room_name,meter_id
东1舍-101,0311.000397.1
东1舍-102,0311.000398.1
东1舍-103,0311.000399.1
东1舍-104,0311.000400.1
东1舍-105,0311.000401.1
东1舍-106,0311.000402.1
东1舍-107,0311.000403.1
东1舍-108,0311.000404.1
东1舍-109,0311.000405.1
东1舍-110,0311.000406.1
东1舍-111,0311.000407.1
东1舍-112,0311.000408.1
东1舍-113,0311.000409.1
东1舍-114,0311.000410.1
东1舍-115,0311.000411.1
东1舍-116,0311.000412.1
东1舍-201,0311.000413.1
东1舍-202,0311.000414.1
东1舍-203,0311.000415.1
东1舍-204,0311.000416.1
东1舍-205,0311.000417.1
东1舍-206,0311.000418.1
东1舍-207,0311.000419.1
东1舍-208,0311.000420.1
东1舍-209,0311.000421.1
东1舍-210,0311.000422.1
东1舍-211,0311.000423.1
东1舍-212,0311.000424.1
东1舍-213,0311.000425.1
东1舍-214,0311.000426.1
东1舍-215,0311.000427.1
东1舍-216,0311.000428.1
东1舍-217,0311.000429.1
东1舍-301,0311.000430.1
东1舍-302,0311.000431.1
东1舍-303,0311.000432.1
东1舍-304,0311.000433.1
东1舍-305,0311.000434.1
东1舍-306,0311.000435.1
东1舍-307,0311.000436.1
东1舍-308,0311.000437.1
东1舍-309,0311.000438.1
东1舍-310,0311.000439.1
东1舍-311,0311.000440.1
东1舍-312,0311.000441.1
东1舍-313,0311.000442.1
东1舍-314,0311.000443.1
东1舍-315,0311.000444.1
东1舍-316,0311.000445.1
东1舍-317,0311.000446.1
东1舍-401,0311.000447.1
东1舍-402,0311.000448.1
东1舍-403,0311.000449.1
东1舍-404,0311.000450.1
东1舍-405,0311.000451.1
东1舍-406,0311.000452.1
东1舍-407,0311.000453.1
东1舍-408,0311.000454.1
东1舍-409,0311.000455.1
东1舍-410,0311.000456.1
东1舍-411,0311.000457.1
东1舍-412,0311.000458.1
东1舍-413,0311.000459.1
东1舍-414,0311.000460.1
东1舍-415,0311.000461.1
东1舍-416,0311.000462.1
东1舍-417,0311.000463.1
东1舍-501,0311.000464.1
东1舍-502,0311.000465.1
东1舍-503,0311.000466.1
东1舍-504,0311.000467.1
东1舍-505,0311.000468.1
东1舍-506,0311.000469.1
东1舍-507,0311.000470.1
东1舍-508,0311.000471.1
东1舍-509,0311.000472.1
东1舍-510,0311.000473.1
东1舍-511,0311.000474.1
东1舍-512,0311.000475.1
东1舍-513,0311.000476.1
东1舍-514,0311.000477.1
东1舍-515,0311.000478.1
东1舍-516,0311.000479.1
东1舍-517,0311.000480.1
东2舍-101,0311.000481.1
东2舍-102,0311.000482.1
东2舍-103,0311.000483.1
东2舍-104,0311.000484.1
东2舍-105,0311.000485.1
东2舍-106,0311.000486.1
东2舍-107,0311.000487.1
东2舍-108,0311.000488.1
